#    L    TT             EE             BB             TE          
     1    0.10039E+04    0.00000E+00    0.00000E+00    0.00000E+00
     2    0.10355E+04    0.34610E-01    0.18856E-05    0.28063E+01
     3    0.98061E+03    0.47449E-01    0.37680E-05    0.32202E+01
     4    0.92779E+03    0.44240E-01    0.62761E-05    0.30866E+01
     5    0.88779E+03    0.31898E-01    0.94119E-05    0.26840E+01
     6    0.86009E+03    0.19040E-01    0.13176E-04    0.22031E+01
     7    0.84216E+03    0.10370E-01    0.17571E-04    0.17528E+01
     8    0.83099E+03    0.62129E-02    0.22597E-04    0.13864E+01
     9    0.82609E+03    0.47273E-02    0.28255E-04    0.11234E+01
    10    0.82468E+03    0.41170E-02    0.34547E-04    0.95944E+00
    11    0.82603E+03    0.35636E-02    0.41473E-04    0.88094E+00
    12    0.83064E+03    0.31616E-02    0.49035E-04    0.86660E+00
    13    0.83696E+03    0.27463E-02    0.57236E-04    0.89491E+00
    14    0.84428E+03    0.26994E-02    0.66076E-04    0.94523E+00
    15    0.85274E+03    0.28952E-02    0.75557E-04    0.10057E+01
    16    0.86254E+03    0.31084E-02    0.85681E-04    0.10685E+01
    17    0.87352E+03    0.34419E-02    0.96448E-04    0.11301E+01
    18    0.88477E+03    0.38799E-02    0.10786E-03    0.11902E+01
    19    0.89749E+03    0.44535E-02    0.11992E-03    0.12512E+01
    20    0.91035E+03    0.52393E-02    0.13263E-03    0.13132E+01
    21    0.92360E+03    0.61801E-02    0.14600E-03    0.13782E+01
    22    0.93732E+03    0.72769E-02    0.16001E-03    0.14471E+01
    23    0.95133E+03    0.85369E-02    0.17468E-03    0.15189E+01
    24    0.96571E+03    0.99362E-02    0.19000E-03    0.15919E+01
    25    0.98046E+03    0.11494E-01    0.20598E-03    0.16624E+01
    26    0.99543E+03    0.13200E-01    0.22262E-03    0.17278E+01
    27    0.10108E+04    0.15045E-01    0.23991E-03    0.17851E+01
    28    0.10264E+04    0.17048E-01    0.25787E-03    0.18332E+01
    29    0.10423E+04    0.19220E-01    0.27649E-03    0.18727E+01
    30    0.10585E+04    0.21581E-01    0.29577E-03    0.19036E+01
    31    0.10748E+04    0.24151E-01    0.31572E-03    0.19267E+01
    32    0.10913E+04    0.26937E-01    0.33632E-03    0.19430E+01
    33    0.11082E+04    0.29942E-01    0.35760E-03    0.19517E+01
    34    0.11252E+04    0.33177E-01    0.37954E-03    0.19529E+01
    35    0.11424E+04    0.36643E-01    0.40214E-03    0.19475E+01
    36    0.11598E+04    0.40346E-01    0.42542E-03    0.19351E+01
    37    0.11773E+04    0.44286E-01    0.44936E-03    0.19130E+01
    38    0.11951E+04    0.48467E-01    0.47396E-03    0.18804E+01
    39    0.12131E+04    0.52889E-01    0.49924E-03    0.18369E+01
    40    0.12312E+04    0.57555E-01    0.52518E-03    0.17824E+01
    41    0.12497E+04    0.62476E-01    0.55179E-03    0.17164E+01
    42    0.12682E+04    0.67664E-01    0.57907E-03    0.16383E+01
    43    0.12869E+04    0.73133E-01    0.60702E-03    0.15474E+01
    44    0.13056E+04    0.78883E-01    0.63564E-03    0.14441E+01
    45    0.13246E+04    0.84923E-01    0.66492E-03    0.13287E+01
    46    0.13439E+04    0.91262E-01    0.69487E-03    0.11997E+01
    47    0.13633E+04    0.97893E-01    0.72549E-03    0.10578E+01
    48    0.13828E+04    0.10481E+00    0.75678E-03    0.90711E+00
    49    0.14024E+04    0.11199E+00    0.78873E-03    0.75105E+00
    50    0.14223E+04    0.11941E+00    0.82135E-03    0.58628E+00
    51    0.14425E+04    0.12701E+00    0.85463E-03    0.40806E+00
    52    0.14631E+04    0.13490E+00    0.88859E-03    0.21166E+00
    53    0.14837E+04    0.14322E+00    0.92320E-03   -0.57946E-02
    54    0.15042E+04    0.15198E+00    0.95848E-03   -0.23922E+00
    55    0.15248E+04    0.16114E+00    0.99443E-03   -0.48342E+00
    56    0.15458E+04    0.17058E+00    0.10310E-02   -0.73946E+00
    57    0.15671E+04    0.18019E+00    0.10683E-02   -0.10072E+01
    58    0.15886E+04    0.18997E+00    0.11062E-02   -0.12875E+01
    59    0.16103E+04    0.19995E+00    0.11448E-02   -0.15811E+01
    60    0.16322E+04    0.21019E+00    0.11841E-02   -0.18875E+01
    61    0.16546E+04    0.22079E+00    0.12240E-02   -0.22059E+01
    62    0.16769E+04    0.23171E+00    0.12646E-02   -0.25372E+01
    63    0.16992E+04    0.24294E+00    0.13058E-02   -0.28823E+01
    64    0.17219E+04    0.25447E+00    0.13477E-02   -0.32425E+01
    65    0.17447E+04    0.26628E+00    0.13903E-02   -0.36184E+01
    66    0.17677E+04    0.27832E+00    0.14335E-02   -0.40081E+01
    67    0.17908E+04    0.29057E+00    0.14774E-02   -0.44091E+01
    68    0.18143E+04    0.30308E+00    0.15220E-02   -0.48201E+01
    69    0.18381E+04    0.31581E+00    0.15672E-02   -0.52397E+01
    70    0.18622E+04    0.32880E+00    0.16130E-02   -0.56697E+01
