#    L    TT             EE             BB             TE         
     1    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
     2    1.03065e+03    3.46133e-02    3.04000e-06    2.77764e+00
     3    9.76804e+02    4.74580e-02    6.08994e-06    3.19625e+00
     4    9.24774e+02    4.42529e-02    1.01408e-05    3.07091e+00
     5    8.85308e+02    3.19127e-02    1.52153e-05    2.67509e+00
     6    8.57981e+02    1.90550e-02    2.12958e-05    2.19814e+00
     7    8.40295e+02    1.03845e-02    2.83982e-05    1.74977e+00
     8    8.29296e+02    6.22867e-03    3.65081e-05    1.38413e+00
     9    8.24504e+02    4.74585e-03    4.56374e-05    1.12158e+00
    10    8.23155e+02    4.13931e-03    5.57752e-05    9.57890e-01
    11    8.24544e+02    3.59017e-03    6.69314e-05    8.79542e-01
    12    8.29166e+02    3.07335e-03    7.90964e-05    8.65725e-01
    13    8.35533e+02    2.78229e-03    9.22787e-05    8.93552e-01
    14    8.42891e+02    2.77112e-03    1.06470e-04    9.44027e-01
    15    8.51373e+02    2.94225e-03    1.21677e-04    1.00416e+00
    16    8.61260e+02    3.18427e-03    1.37892e-04    1.06698e+00
    17    8.72226e+02    3.50184e-03    1.55122e-04    1.12823e+00
    18    8.83525e+02    3.93203e-03    1.73360e-04    1.18714e+00
    19    8.96254e+02    4.52786e-03    1.92611e-04    1.24897e+00
    20    9.09031e+02    5.31442e-03    2.12867e-04    1.31050e+00
    21    9.22427e+02    6.27028e-03    2.34135e-04    1.37556e+00
    22    9.36292e+02    7.38220e-03    2.56408e-04    1.44395e+00
    23    9.50216e+02    8.64476e-03    2.79690e-04    1.51577e+00
    24    9.64538e+02    1.00599e-02    3.03974e-04    1.59031e+00
    25    9.79423e+02    1.16214e-02    3.29264e-04    1.65872e+00
    26    9.94397e+02    1.33292e-02    3.55555e-04    1.72267e+00
    27    1.00983e+03    1.51931e-02    3.82849e-04    1.78102e+00
    28    1.02551e+03    1.72072e-02    4.11141e-04    1.82759e+00
    29    1.04142e+03    1.93911e-02    4.40433e-04    1.86801e+00
    30    1.05780e+03    2.17688e-02    4.70719e-04    1.89622e+00
    31    1.07398e+03    2.43461e-02    5.02003e-04    1.92151e+00
    32    1.09069e+03    2.71523e-02    5.34277e-04    1.93775e+00
