#    L    TT             EE             BB             TE             PP             TP             EP          
     1    0.10039E+04    0.00000E+00    0.00000E+00    0.00000E+00    0.37876E-07    0.27944E-02    0.00000E+00
     2    0.10354E+04    0.34608E-01    0.00000E+00    0.28063E+01    0.51131E-07    0.30157E-02   -0.13105E-04
     3    0.98060E+03    0.47446E-01    0.00000E+00    0.32202E+01    0.62076E-07    0.30166E-02   -0.14602E-04
     4    0.92778E+03    0.44234E-01    0.00000E+00    0.30866E+01    0.71470E-07    0.29462E-02   -0.13041E-04
     5    0.88777E+03    0.31889E-01    0.00000E+00    0.26840E+01    0.79617E-07    0.28472E-02   -0.96688E-05
     6    0.86007E+03    0.19027E-01    0.00000E+00    0.22031E+01    0.86718E-07    0.27385E-02   -0.56049E-05
     7    0.84213E+03    0.10352E-01    0.00000E+00    0.17529E+01    0.92962E-07    0.26294E-02   -0.17898E-05
     8    0.83095E+03    0.61904E-02    0.00000E+00    0.13864E+01    0.98485E-07    0.25234E-02    0.11188E-05
     9    0.82604E+03    0.46992E-02    0.00000E+00    0.11234E+01    0.10340E-06    0.24209E-02    0.27960E-05
    10    0.82461E+03    0.40826E-02    0.00000E+00    0.95946E+00    0.10777E-06    0.23247E-02    0.32378E-05
    11    0.82595E+03    0.35222E-02    0.00000E+00    0.88096E+00    0.11170E-06    0.22370E-02    0.26904E-05
    12    0.83055E+03    0.31126E-02    0.00000E+00    0.86662E+00    0.11521E-06    0.21558E-02    0.15399E-05
    13    0.83686E+03    0.26891E-02    0.00000E+00    0.89494E+00    0.11835E-06    0.20799E-02    0.21700E-06
    14    0.84416E+03    0.26333E-02    0.00000E+00    0.94527E+00    0.12116E-06    0.20084E-02   -0.89843E-06
    15    0.85261E+03    0.28196E-02    0.00000E+00    0.10057E+01    0.12369E-06    0.19403E-02   -0.16123E-05
    16    0.86239E+03    0.30228E-02    0.00000E+00    0.10686E+01    0.12596E-06    0.18749E-02   -0.18244E-05
    17    0.87336E+03    0.33454E-02    0.00000E+00    0.11301E+01    0.12799E-06    0.18124E-02   -0.16237E-05
    18    0.88459E+03    0.37720E-02    0.00000E+00    0.11903E+01    0.12982E-06    0.17529E-02   -0.11536E-05
    19    0.89729E+03    0.43336E-02    0.00000E+00    0.12513E+01    0.13145E-06    0.16964E-02   -0.59883E-06
    20    0.91014E+03    0.51066E-02    0.00000E+00    0.13134E+01    0.13289E-06    0.16426E-02   -0.13736E-06
    21    0.92336E+03    0.60340E-02    0.00000E+00    0.13784E+01    0.13417E-06    0.15918E-02    0.11238E-06
    22    0.93707E+03    0.71169E-02    0.00000E+00    0.14473E+01    0.13531E-06    0.15443E-02    0.82637E-07
    23    0.95105E+03    0.83622E-02    0.00000E+00    0.15192E+01    0.13631E-06    0.14995E-02   -0.15360E-06
    24    0.96541E+03    0.97462E-02    0.00000E+00    0.15922E+01    0.13719E-06    0.14568E-02   -0.49269E-06
    25    0.98014E+03    0.11288E-01    0.00000E+00    0.16627E+01    0.13794E-06    0.14160E-02   -0.84497E-06
    26    0.99508E+03    0.12977E-01    0.00000E+00    0.17281E+01    0.13859E-06    0.13770E-02   -0.11311E-05
    27    0.10104E+04    0.14805E-01    0.00000E+00    0.17856E+01    0.13914E-06    0.13397E-02   -0.12970E-05
    28    0.10260E+04    0.16790E-01    0.00000E+00    0.18337E+01    0.13960E-06    0.13039E-02   -0.13086E-05
    29    0.10419E+04    0.18944E-01    0.00000E+00    0.18732E+01    0.13997E-06    0.12693E-02   -0.11850E-05
    30    0.10581E+04    0.21285E-01    0.00000E+00    0.19041E+01    0.14027E-06    0.12359E-02   -0.97099E-06
    31    0.10743E+04    0.23835E-01    0.00000E+00    0.19274E+01    0.14048E-06    0.12039E-02   -0.76177E-06
    32    0.10908E+04    0.26601E-01    0.00000E+00    0.19437E+01    0.14064E-06    0.11735E-02   -0.64416E-06
    33    0.11077E+04    0.29585E-01    0.00000E+00    0.19525E+01    0.14073E-06    0.11446E-02   -0.62324E-06
    34    0.11246E+04    0.32798E-01    0.00000E+00    0.19538E+01    0.14076E-06    0.11168E-02   -0.68286E-06
    35    0.11418E+04    0.36242E-01    0.00000E+00    0.19484E+01    0.14074E-06    0.10901E-02   -0.80307E-06
