#    L    TT             EE             BB             TE          
     1    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
     2    0.49726E+01    0.93887E-04    0.16469E-03    0.56379E-02
     3    0.39871E+01    0.10102E-03    0.16918E-03   -0.10098E-03
     4    0.37568E+01    0.92017E-04    0.14832E-03   -0.17409E-02
     5    0.36798E+01    0.72602E-04    0.11659E-03   -0.20983E-02
     6    0.36584E+01    0.52189E-04    0.85186E-04   -0.19966E-02
     7    0.36632E+01    0.36814E-04    0.60304E-04   -0.17930E-02
     8    0.36799E+01    0.28441E-04    0.43888E-04   -0.16217E-02
     9    0.37019E+01    0.26321E-04    0.35347E-04   -0.15691E-02
    10    0.37258E+01    0.28481E-04    0.32950E-04   -0.15722E-02
    11    0.37492E+01    0.33188E-04    0.34801E-04   -0.16794E-02
    12    0.37697E+01    0.39164E-04    0.39275E-04   -0.18489E-02
    13    0.37872E+01    0.45875E-04    0.45350E-04   -0.20574E-02
    14    0.38024E+01    0.53021E-04    0.52263E-04   -0.22978E-02
    15    0.38152E+01    0.60567E-04    0.59711E-04   -0.25701E-02
    16    0.38256E+01    0.68538E-04    0.67537E-04   -0.28763E-02
    17    0.38333E+01    0.76929E-04    0.75695E-04   -0.32197E-02
    18    0.38380E+01    0.85717E-04    0.84167E-04   -0.35997E-02
    19    0.38397E+01    0.94854E-04    0.92935E-04   -0.39995E-02
    20    0.38389E+01    0.10430E-03    0.10198E-03   -0.44058E-02
    21    0.38357E+01    0.11408E-03    0.11129E-03   -0.48357E-02
    22    0.38303E+01    0.12422E-03    0.12085E-03   -0.53053E-02
    23    0.38228E+01    0.13468E-03    0.13065E-03   -0.57973E-02
    24    0.38133E+01    0.14540E-03    0.14067E-03   -0.62925E-02
    25    0.38019E+01    0.15639E-03    0.15090E-03   -0.67982E-02
    26    0.37887E+01    0.16768E-03    0.16133E-03   -0.73255E-02
    27    0.37738E+01    0.17928E-03    0.17193E-03   -0.78755E-02
    28    0.37572E+01    0.19116E-03    0.18271E-03   -0.84441E-02
    29    0.37391E+01    0.20327E-03    0.19365E-03   -0.90174E-02
    30    0.37194E+01    0.21556E-03    0.20473E-03   -0.95862E-02
    31    0.36983E+01    0.22812E-03    0.21593E-03   -0.10169E-01
    32    0.36758E+01    0.24100E-03    0.22725E-03   -0.10782E-01
    33    0.36519E+01    0.25407E-03    0.23868E-03   -0.11397E-01
